ExperimentID,SystemName,TextNumber,UserID,Event,Timestamp
0_VoiceGaze_212072201_30-05-2021,VoiceGaze,0,212072201,NewExperiment,2021-05-30 11:05:49
0_VoiceGaze_212072201_30-05-2021,VoiceGaze,0,212072201,EndExperiment,2021-05-30 11:10:24
1_VoiceGaze_212072201_30-05-2021,VoiceGaze,1,212072201,NewExperiment,2021-05-30 11:10:50
1_VoiceGaze_212072201_30-05-2021,VoiceGaze,1,212072201,EndExperiment,2021-05-30 11:15:02
2_VoiceGaze_212072201_30-05-2021,VoiceGaze,2,212072201,NewExperiment,2021-05-30 11:15:13
2_VoiceGaze_212072201_30-05-2021,VoiceGaze,2,212072201,EndExperiment,2021-05-30 11:18:24
3_VoiceGaze_212072201_30-05-2021,VoiceGaze,3,212072201,NewExperiment,2021-05-30 11:18:40
3_VoiceGaze_212072201_30-05-2021,VoiceGaze,3,212072201,EndExperiment,2021-05-30 11:21:03
0_VoiceMouse_212072201_30-05-2021,VoiceMouse,0,212072201,NewExperiment,2021-05-30 11:25:29
0_VoiceMouse_212072201_30-05-2021,VoiceMouse,0,212072201,EndExperiment,2021-05-30 11:27:35
1_VoiceMouse_212072201_30-05-2021,VoiceMouse,1,212072201,NewExperiment,2021-05-30 11:28:03
1_VoiceMouse_212072201_30-05-2021,VoiceMouse,1,212072201,EndExperiment,2021-05-30 11:30:21
2_VoiceMouse_212072201_30-05-2021,VoiceMouse,2,212072201,NewExperiment,2021-05-30 11:30:32
2_VoiceMouse_212072201_30-05-2021,VoiceMouse,2,212072201,EndExperiment,2021-05-30 11:32:40
3_VoiceMouse_212072201_30-05-2021,VoiceMouse,3,212072201,NewExperiment,2021-05-30 11:32:51
3_VoiceMouse_212072201_30-05-2021,VoiceMouse,3,212072201,EndExperiment,2021-05-30 11:35:20
